destination,year,month,hotel_arrivals_ine,hotel_occupancy_pct_real
San Sebastián,2025,12,209866000,46.9
San Sebastián,2026,1,223201000,49.9
San Sebastián,2026,2,284426000,63.5
San Sebastián,2026,3,340356000,76.0
Sevilla,2024,12,624641500,45.6
Sevilla,2025,1,729905000,53.3
Sevilla,2025,2,852770500,62.3
Sevilla,2025,3,1103939000,80.6
Sevilla,2025,4,1196627000,87.4
Sevilla,2025,5,1191515000,87.0
Sevilla,2025,6,1208439500,88.3
Sevilla,2025,7,1300857500,95.0
Sevilla,2025,8,1203701000,87.9
Sevilla,2025,9,1135193500,82.9
Sevilla,2025,10,812031000,59.3
Sevilla,2025,11,747600500,54.6
Sevilla,2025,12,649452000,47.4
Sevilla,2026,1,729749000,53.3
Sevilla,2026,2,949915500,69.4
Sevilla,2026,3,1150863000,84.0
Tenerife,2024,12,906651000,81.5
Tenerife,2025,1,920136000,82.7
Tenerife,2025,2,967758000,87.0
Tenerife,2025,3,941384000,84.6
Tenerife,2025,4,889987000,80.0
Tenerife,2025,5,906249000,81.5
Tenerife,2025,6,999568000,89.9
Tenerife,2025,7,1056497000,95.0
Tenerife,2025,8,888157000,79.9
Tenerife,2025,9,988326000,88.9
Tenerife,2025,10,929504000,83.6
Tenerife,2025,11,900914000,81.0
Tenerife,2025,12,913820000,82.2
Tenerife,2026,1,934667000,84.0
Tenerife,2026,2,998212000,89.8
Tenerife,2026,3,889770000,80.0
Teruel,2024,12,101846000,45.4
Teruel,2025,1,123727500,55.2
Teruel,2025,2,128579000,57.4
Teruel,2025,3,146425000,65.3
Teruel,2025,4,152320000,68.0
Teruel,2025,5,152592500,68.1
Teruel,2025,6,169727000,75.7
Teruel,2025,7,212932000,95.0
Teruel,2025,8,168701500,75.3
Teruel,2025,9,158459500,70.7
Teruel,2025,10,117345000,52.4
Teruel,2025,11,123561000,55.1
Teruel,2025,12,105063500,46.9
Teruel,2026,1,119252500,53.2
Teruel,2026,2,138436000,61.8
Teruel,2026,3,149065500,66.5
Valencia,2024,12,354437500,43.3
Valencia,2025,1,422627500,51.6
Valencia,2025,2,515942000,63.0
Valencia,2025,3,609638500,74.4
Valencia,2025,4,640150500,78.1
Valencia,2025,5,683781500,83.4
Valencia,2025,6,719233500,87.8
Valencia,2025,7,778522500,95.0
Valencia,2025,8,635153500,77.5
Valencia,2025,9,604281500,73.7
Valencia,2025,10,490238500,59.8
Valencia,2025,11,416385000,50.8
Valencia,2025,12,355940000,43.4
Valencia,2026,1,421811500,51.5
Valencia,2026,2,553181000,67.5
Valencia,2026,3,638637000,77.9
