poi_id,name,destination,region,destination_type,capacity_index,category,asset_type,lat,lon,stars,cuisine,website
192066541,Hotel Millenni,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3759505,2.1670539,4.0,,
192067263,Hotel Barcelona Universal,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3751971,2.1682509,4.0,,
194544630,Stay Together,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3752662,2.1673005,,,
199125462,Hotel Paral·lel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3747759,2.1661966,2.0,,
269337338,Novotel Cornella,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3516118,2.0904489,,,
364735661,Gran Hotel Catalonia,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3938035,2.1567229,,,
367695151,Villa Emilia,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3802157,2.1539506,,,
478867119,ibis Barcelona Meridiana,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4354066,2.181653,,,
536686095,Hostal Barcelona,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3728426,2.1661693,,,
570814718,Hostal Kabul,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3796661,2.175241,,,
672090818,Pensión Las Flores,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3813647,2.1727626,,,
672398204,Hotel Royal,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3842853,2.1705638,4.0,,
672892910,Hotel Glòries,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4011223,2.1829564,,,
673390239,Hotel Ayre Casp,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3960634,2.1794666,1.0,,http://www.ayrehoteles.com
673978997,Hosteria Grau,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3846255,2.1681611,2.0,,
674096751,Hotel Sir Victor,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3962081,2.1609608,4.0,,
674141698,Hotel Suites Avenue,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3942863,2.16178,5.0,,
674650370,Eurostars Grand Marina Hotel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3717119,2.1808851,5.0,,https://www.eurostarshotels.com/eurostars-grand-marina.html
675181314,Hotel Attica 21,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4051323,2.2118586,4.0,,
691591937,Hotel Continental,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3850332,2.1707068,1.0,,
698062668,Hotel sb Diagonal Zero,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4120729,2.2196461,4.0,,https://www.hoteldiagonalzero.com/
704049114,H10 Catalunya Plaza,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3870001,2.1684561,3.0,,
704063685,Club 29,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3908058,2.1660695,,,https://hiddenhotels.com/hotel-club-29/
704064994,Hotel Continental Palacete,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.38971,2.1655726,,,
765796223,AC Marriott Victoria Suites,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3893464,2.1212331,,,
772096087,Hostal Baler,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3760378,2.1440163,,,
813331259,Leonardo Hotel Las Ramblas,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.380051,2.1710093,3.0,,https://www.leonardo-hotels.de/leonardo-hotel-barcelona-las-ramblas
819552810,Atrium Palace,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3908992,2.1706621,,,
820938971,Hotel Suizo,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3837596,2.1782779,,,
824310260,INNSiDE by Meliá Barcelona Apolo,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3746695,2.1706835,4.0,,https://www.melia.com/es/hoteles/espana/barcelona/hotel-barcelona-apolo-by-melia
824313214,Auto Hogar,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3751599,2.1688148,,,
824993418,Le Méridien Barcelona,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3836207,2.1707631,,,https://www.marriott.com/hotels/travel/bcnmd-le-meridien-barcelona/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2
921135618,Barcelona City Hotel(Hotel Universal),Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3933159,2.1660451,,,
943001388,Hostal Baires,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3803276,2.1791762,,,
983154644,Grupotel Gravina Hotel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3854111,2.1660268,,,
983274432,chic&basic Reding Hotel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3853032,2.1655507,,,https://www.chicandbasic.com/es/hotel-reding-barcelona/
1072835643,Olivia Plaza Hotel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3862014,2.1711443,,,http://www.oliviaplazahotel.es
1082354554,Center Ramblas,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3804713,2.1707294,,,
1132298111,Barceló Antenea Mar,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4023874,2.2117838,,,
1154463668,Front Maritim,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4037749,2.2138028,,,
1193524889,Atenea Calabria,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3809414,2.1531619,,,
1223692092,Evenia Rocafort,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3762298,2.1571681,3.0,,https://www.eveniahotels.com/
1231242161,AXEL Hotel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3873794,2.1604124,4.0,,https://www.axelhotels.com/en/axel-hotel-barcelona/hotel
1250904945,Ideal Youth Hostel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3796666,2.1734692,,,
1251513184,Alberguinn - Sants Youth Hostel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3795792,2.1344573,,,
1263169474,Mediterranean Youth Hostel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3944811,2.1723148,,,https://www.mediterraneanhostel.com/
1307755891,Ayre Hotel Gran Via,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.373363,2.1473387,,,
1309602319,Hotel Inglés,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3814535,2.1738688,1.0,,http://www.hotelingles.net/
1374340447,Hostal la Palmera,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3819104,2.1707337,2.0,,https://www.lapalmerabcn.com/
1374631955,Aparthotel Eric Vökel Gran Vía Suites,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3788851,2.1547217,,,https://www.ericvokel.com/
1386884268,Hotel Denit,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3870752,2.1723258,,,
1415156469,Barcelona Xanascat,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4156176,2.1464272,,,https://xanascat.gencat.cat
1417833791,Medium Prisma,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3890859,2.1429632,,,https://www.mediumhoteles.com/
1428867665,Hesperia Presidente,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3941217,2.1489633,4.0,,https://www.nh-hoteles.es/
1434058713,Hotel Paseo de Gracia,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3958561,2.1609782,3.0,,https://www.hotelpaseodegracia.es/
1474078091,Hotel Balmes,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3910913,2.1593029,4.0,,https://www.derbyhotels.com/en/hotels/balmes-hotel/
1474078097,Hotel Granados 83,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3918188,2.156787,4.0,,http://www.derbyhotels.com/es/hotel-granados-83/
1474078098,Room Mate Emma Hotel,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3926948,2.156347,3.0,,https://room-matehotels.com/en/emma/
1490209369,Petit palace BCN,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3909966,2.1714195,4.0,,
1535825971,Hotel Madanis Liceo,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3760514,2.1204985,,,https://www.hotelmadanisliceo.com/
1555469405,Hotel Madanis,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3767668,2.1213892,,,https://www.apartamentosmadanis.com/
1575500554,Hotel Concordia,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.37476,2.1608854,4.0,,
1576997687,Apartaments Casanova,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.382434,2.1623751,,,
1576997688,Hostal Centric,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3824642,2.1623216,,,https://www.hostalcentric.com/
1591951065,Hostal Putxet,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4060153,2.1447934,,,
1636935328,Hotel Catalonia Plaça Catalunya,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3863262,2.1681968,4.0,,
1636988219,Hotel Ginebra,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3874373,2.1680369,1.0,,https://hotelginebra.com.es/es/hotel/
1654457782,Hotel América Barcelona,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3918486,2.1573697,4.0,,https://www.hotelamericabarcelona.com/
1672212505,Catalonia Avinyó,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.3811573,2.176401,,,
1673414652,Hotel Via Augusta,Barcelona,Cataluña,urban,92,accommodation,Alojamiento,41.4000137,2.1515004,2.0,,http://hotelviaaugusta.com
